0.003,0.006,0.0043
0.003,0.006,0.00435
0.003,0.006,0.0044
0.003,0.006,0.00445
0.003,0.006,0.0045
0.003,0.006,0.00455
0.003,0.006,0.0046
0.003,0.006,0.00465
0.003,0.006,0.0047
0.003,0.006,0.00475
0.003,0.006,0.0048
0.003,0.006,0.00485
0.003,0.006,0.0049
0.003,0.006,0.00495
0.003,0.006,0.005
0.003,0.0065,0
0.003,0.0065,5e-05
0.003,0.0065,0.0001
0.003,0.0065,0.00015
0.003,0.0065,0.0002
0.003,0.0065,0.00025
0.003,0.0065,0.0003
0.003,0.0065,0.00035
0.003,0.0065,0.0004
0.003,0.0065,0.00045
0.003,0.0065,0.0005
0.003,0.0065,0.00055
0.003,0.0065,0.0006
0.003,0.0065,0.00065
0.003,0.0065,0.0007
0.003,0.0065,0.00075
0.003,0.0065,0.0008
0.003,0.0065,0.00085
0.003,0.0065,0.0009
0.003,0.0065,0.00095
0.003,0.0065,0.001
0.003,0.0065,0.00105
0.003,0.0065,0.0011
0.003,0.0065,0.00115
0.003,0.0065,0.0012
0.003,0.0065,0.00125
0.003,0.0065,0.0013
0.003,0.0065,0.00135
0.003,0.0065,0.0014
0.003,0.0065,0.00145
0.003,0.0065,0.0015
0.003,0.0065,0.00155
0.003,0.0065,0.0016
0.003,0.0065,0.00165
0.003,0.0065,0.0017
0.003,0.0065,0.00175
0.003,0.0065,0.0018
0.003,0.0065,0.00185
0.003,0.0065,0.0019
0.003,0.0065,0.00195
0.003,0.0065,0.002
0.003,0.0065,0.00205
0.003,0.0065,0.0021
0.003,0.0065,0.00215
0.003,0.0065,0.0022
0.003,0.0065,0.00225
0.003,0.0065,0.0023
0.003,0.0065,0.00235
0.003,0.0065,0.0024
0.003,0.0065,0.00245
0.003,0.0065,0.0025
0.003,0.0065,0.00255
0.003,0.0065,0.0026
0.003,0.0065,0.00265
0.003,0.0065,0.0027
0.003,0.0065,0.00275
0.003,0.0065,0.0028
0.003,0.0065,0.00285
0.003,0.0065,0.0029
0.003,0.0065,0.00295
0.003,0.0065,0.003
0.003,0.0065,0.00305
0.003,0.0065,0.0031
0.003,0.0065,0.00315
0.003,0.0065,0.0032
0.003,0.0065,0.00325
0.003,0.0065,0.0033
0.003,0.0065,0.00335
0.003,0.0065,0.0034
0.003,0.0065,0.00345
0.003,0.0065,0.0035
0.003,0.0065,0.00355
0.003,0.0065,0.0036
0.003,0.0065,0.00365
0.003,0.0065,0.0037
0.003,0.0065,0.00375
0.003,0.0065,0.0038
0.003,0.0065,0.00385
0.003,0.0065,0.0039
0.003,0.0065,0.00395
0.003,0.0065,0.004
0.003,0.0065,0.00405
0.003,0.0065,0.0041
0.003,0.0065,0.00415
0.003,0.0065,0.0042
0.003,0.0065,0.00425
0.003,0.0065,0.0043
0.003,0.0065,0.00435
0.003,0.0065,0.0044
0.003,0.0065,0.00445
0.003,0.0065,0.0045
0.003,0.0065,0.00455
0.003,0.0065,0.0046
0.003,0.0065,0.00465
0.003,0.0065,0.0047
0.003,0.0065,0.00475
0.003,0.0065,0.0048
0.003,0.0065,0.00485
0.003,0.0065,0.0049
0.003,0.0065,0.00495
0.003,0.0065,0.005
0.003,0.007,0
0.003,0.007,5e-05
0.003,0.007,0.0001
0.003,0.007,0.00015
0.003,0.007,0.0002
0.003,0.007,0.00025
0.003,0.007,0.0003
0.003,0.007,0.00035
0.003,0.007,0.0004
0.003,0.007,0.00045
0.003,0.007,0.0005
0.003,0.007,0.00055
0.003,0.007,0.0006
0.003,0.007,0.00065
0.003,0.007,0.0007
0.003,0.007,0.00075
0.003,0.007,0.0008
0.003,0.007,0.00085
0.003,0.007,0.0009
0.003,0.007,0.00095
0.003,0.007,0.001
0.003,0.007,0.00105
0.003,0.007,0.0011
0.003,0.007,0.00115
0.003,0.007,0.0012
0.003,0.007,0.00125
0.003,0.007,0.0013
0.003,0.007,0.00135
0.003,0.007,0.0014
0.003,0.007,0.00145
0.003,0.007,0.0015
0.003,0.007,0.00155
0.003,0.007,0.0016
0.003,0.007,0.00165
0.003,0.007,0.0017
0.003,0.007,0.00175
0.003,0.007,0.0018
0.003,0.007,0.00185
0.003,0.007,0.0019
0.003,0.007,0.00195
0.003,0.007,0.002
0.003,0.007,0.00205
0.003,0.007,0.0021
0.003,0.007,0.00215
0.003,0.007,0.0022
0.003,0.007,0.00225
0.003,0.007,0.0023
0.003,0.007,0.00235
0.003,0.007,0.0024
0.003,0.007,0.00245
0.003,0.007,0.0025
0.003,0.007,0.00255
0.003,0.007,0.0026
0.003,0.007,0.00265
0.003,0.007,0.0027
0.003,0.007,0.00275
0.003,0.007,0.0028
0.003,0.007,0.00285
0.003,0.007,0.0029
0.003,0.007,0.00295
0.003,0.007,0.003
0.003,0.007,0.00305
0.003,0.007,0.0031
0.003,0.007,0.00315
0.003,0.007,0.0032
0.003,0.007,0.00325
0.003,0.007,0.0033
0.003,0.007,0.00335
0.003,0.007,0.0034
0.003,0.007,0.00345
0.003,0.007,0.0035
0.003,0.007,0.00355
0.003,0.007,0.0036
0.003,0.007,0.00365
0.003,0.007,0.0037
0.003,0.007,0.00375
0.003,0.007,0.0038
0.003,0.007,0.00385
0.003,0.007,0.0039
0.003,0.007,0.00395
0.003,0.007,0.004
0.003,0.007,0.00405
0.003,0.007,0.0041
0.003,0.007,0.00415
0.003,0.007,0.0042
0.003,0.007,0.00425
0.003,0.007,0.0043
0.003,0.007,0.00435
0.003,0.007,0.0044
0.003,0.007,0.00445
0.003,0.007,0.0045
0.003,0.007,0.00455
0.003,0.007,0.0046
0.003,0.007,0.00465
0.003,0.007,0.0047
0.003,0.007,0.00475
0.003,0.007,0.0048
0.003,0.007,0.00485
0.003,0.007,0.0049
0.003,0.007,0.00495
0.003,0.007,0.005
0.003,0.0075,0
0.003,0.0075,5e-05
0.003,0.0075,0.0001
0.003,0.0075,0.00015
0.003,0.0075,0.0002
0.003,0.0075,0.00025
0.003,0.0075,0.0003
0.003,0.0075,0.00035
0.003,0.0075,0.0004
0.003,0.0075,0.00045
0.003,0.0075,0.0005
0.003,0.0075,0.00055
0.003,0.0075,0.0006
0.003,0.0075,0.00065
0.003,0.0075,0.0007
0.003,0.0075,0.00075
0.003,0.0075,0.0008
0.003,0.0075,0.00085
0.003,0.0075,0.0009
0.003,0.0075,0.00095
0.003,0.0075,0.001
0.003,0.0075,0.00105
0.003,0.0075,0.0011
0.003,0.0075,0.00115
0.003,0.0075,0.0012
0.003,0.0075,0.00125
0.003,0.0075,0.0013
0.003,0.0075,0.00135
0.003,0.0075,0.0014
0.003,0.0075,0.00145
0.003,0.0075,0.0015
0.003,0.0075,0.00155
0.003,0.0075,0.0016
0.003,0.0075,0.00165
0.003,0.0075,0.0017
0.003,0.0075,0.00175
0.003,0.0075,0.0018
0.003,0.0075,0.00185
0.003,0.0075,0.0019
0.003,0.0075,0.00195
0.003,0.0075,0.002
0.003,0.0075,0.00205
0.003,0.0075,0.0021
0.003,0.0075,0.00215
0.003,0.0075,0.0022
0.003,0.0075,0.00225
0.003,0.0075,0.0023
0.003,0.0075,0.00235
0.003,0.0075,0.0024
0.003,0.0075,0.00245
0.003,0.0075,0.0025
0.003,0.0075,0.00255
0.003,0.0075,0.0026
0.003,0.0075,0.00265
0.003,0.0075,0.0027
0.003,0.0075,0.00275
0.003,0.0075,0.0028
0.003,0.0075,0.00285
0.003,0.0075,0.0029
0.003,0.0075,0.00295
0.003,0.0075,0.003
0.003,0.0075,0.00305
0.003,0.0075,0.0031
0.003,0.0075,0.00315
0.003,0.0075,0.0032
0.003,0.0075,0.00325
0.003,0.0075,0.0033
0.003,0.0075,0.00335
0.003,0.0075,0.0034
0.003,0.0075,0.00345
0.003,0.0075,0.0035
0.003,0.0075,0.00355
0.003,0.0075,0.0036
0.003,0.0075,0.00365
0.003,0.0075,0.0037
0.003,0.0075,0.00375
0.003,0.0075,0.0038
0.003,0.0075,0.00385
0.003,0.0075,0.0039
0.003,0.0075,0.00395
0.003,0.0075,0.004
0.003,0.0075,0.00405
0.003,0.0075,0.0041
0.003,0.0075,0.00415
0.003,0.0075,0.0042
0.003,0.0075,0.00425
0.003,0.0075,0.0043
0.003,0.0075,0.00435
0.003,0.0075,0.0044
0.003,0.0075,0.00445
0.003,0.0075,0.0045
0.003,0.0075,0.00455
0.003,0.0075,0.0046
0.003,0.0075,0.00465
0.003,0.0075,0.0047
0.003,0.0075,0.00475
0.003,0.0075,0.0048
0.003,0.0075,0.00485
0.003,0.0075,0.0049
0.003,0.0075,0.00495
0.003,0.0075,0.005
0.003,0.008,0
0.003,0.008,5e-05
0.003,0.008,0.0001
0.003,0.008,0.00015
0.003,0.008,0.0002
0.003,0.008,0.00025
0.003,0.008,0.0003
0.003,0.008,0.00035
0.003,0.008,0.0004
0.003,0.008,0.00045
0.003,0.008,0.0005
0.003,0.008,0.00055
0.003,0.008,0.0006
0.003,0.008,0.00065
0.003,0.008,0.0007
0.003,0.008,0.00075
0.003,0.008,0.0008
0.003,0.008,0.00085
0.003,0.008,0.0009
0.003,0.008,0.00095
0.003,0.008,0.001
0.003,0.008,0.00105
0.003,0.008,0.0011
0.003,0.008,0.00115
0.003,0.008,0.0012
0.003,0.008,0.00125
0.003,0.008,0.0013
0.003,0.008,0.00135
0.003,0.008,0.0014
0.003,0.008,0.00145
0.003,0.008,0.0015
0.003,0.008,0.00155
0.003,0.008,0.0016
0.003,0.008,0.00165
0.003,0.008,0.0017
0.003,0.008,0.00175
0.003,0.008,0.0018
0.003,0.008,0.00185
0.003,0.008,0.0019
0.003,0.008,0.00195
0.003,0.008,0.002
0.003,0.008,0.00205
0.003,0.008,0.0021
0.003,0.008,0.00215
0.003,0.008,0.0022
0.003,0.008,0.00225
0.003,0.008,0.0023
0.003,0.008,0.00235
0.003,0.008,0.0024
0.003,0.008,0.00245
0.003,0.008,0.0025
0.003,0.008,0.00255
0.003,0.008,0.0026
0.003,0.008,0.00265
0.003,0.008,0.0027
0.003,0.008,0.00275
0.003,0.008,0.0028
0.003,0.008,0.00285
0.003,0.008,0.0029
0.003,0.008,0.00295
0.003,0.008,0.003
0.003,0.008,0.00305
0.003,0.008,0.0031
0.003,0.008,0.00315
0.003,0.008,0.0032
0.003,0.008,0.00325
0.003,0.008,0.0033
0.003,0.008,0.00335
0.003,0.008,0.0034
0.003,0.008,0.00345
0.003,0.008,0.0035
0.003,0.008,0.00355
0.003,0.008,0.0036
0.003,0.008,0.00365
0.003,0.008,0.0037
0.003,0.008,0.00375
0.003,0.008,0.0038
0.003,0.008,0.00385
0.003,0.008,0.0039
0.003,0.008,0.00395
0.003,0.008,0.004
0.003,0.008,0.00405
0.003,0.008,0.0041
0.003,0.008,0.00415
0.003,0.008,0.0042
0.003,0.008,0.00425
0.003,0.008,0.0043
0.003,0.008,0.00435
0.003,0.008,0.0044
0.003,0.008,0.00445
0.003,0.008,0.0045
0.003,0.008,0.00455
0.003,0.008,0.0046
0.003,0.008,0.00465
0.003,0.008,0.0047
0.003,0.008,0.00475
0.003,0.008,0.0048
0.003,0.008,0.00485
0.003,0.008,0.0049
0.003,0.008,0.00495
0.003,0.008,0.005
0.003,0.0085,0
0.003,0.0085,5e-05
0.003,0.0085,0.0001
0.003,0.0085,0.00015
0.003,0.0085,0.0002
0.003,0.0085,0.00025
0.003,0.0085,0.0003
0.003,0.0085,0.00035
0.003,0.0085,0.0004
0.003,0.0085,0.00045
0.003,0.0085,0.0005
0.003,0.0085,0.00055
0.003,0.0085,0.0006
0.003,0.0085,0.00065
0.003,0.0085,0.0007
0.003,0.0085,0.00075
0.003,0.0085,0.0008
0.003,0.0085,0.00085
0.003,0.0085,0.0009
0.003,0.0085,0.00095
0.003,0.0085,0.001
0.003,0.0085,0.00105
0.003,0.0085,0.0011
0.003,0.0085,0.00115
0.003,0.0085,0.0012
0.003,0.0085,0.00125
0.003,0.0085,0.0013
0.003,0.0085,0.00135
0.003,0.0085,0.0014
0.003,0.0085,0.00145
0.003,0.0085,0.0015
0.003,0.0085,0.00155
0.003,0.0085,0.0016
0.003,0.0085,0.00165
0.003,0.0085,0.0017
0.003,0.0085,0.00175
0.003,0.0085,0.0018
0.003,0.0085,0.00185
0.003,0.0085,0.0019
0.003,0.0085,0.00195
0.003,0.0085,0.002
0.003,0.0085,0.00205
0.003,0.0085,0.0021
0.003,0.0085,0.00215
0.003,0.0085,0.0022
0.003,0.0085,0.00225
0.003,0.0085,0.0023
0.003,0.0085,0.00235
0.003,0.0085,0.0024
0.003,0.0085,0.00245
0.003,0.0085,0.0025
0.003,0.0085,0.00255
0.003,0.0085,0.0026
0.003,0.0085,0.00265
0.003,0.0085,0.0027
0.003,0.0085,0.00275
0.003,0.0085,0.0028
0.003,0.0085,0.00285
0.003,0.0085,0.0029
0.003,0.0085,0.00295
0.003,0.0085,0.003
0.003,0.0085,0.00305
0.003,0.0085,0.0031
0.003,0.0085,0.00315
0.003,0.0085,0.0032
0.003,0.0085,0.00325
0.003,0.0085,0.0033
0.003,0.0085,0.00335
0.003,0.0085,0.0034
0.003,0.0085,0.00345
0.003,0.0085,0.0035
0.003,0.0085,0.00355
0.003,0.0085,0.0036
0.003,0.0085,0.00365
0.003,0.0085,0.0037
0.003,0.0085,0.00375
0.003,0.0085,0.0038
0.003,0.0085,0.00385
0.003,0.0085,0.0039
0.003,0.0085,0.00395
0.003,0.0085,0.004
0.003,0.0085,0.00405
0.003,0.0085,0.0041
0.003,0.0085,0.00415
0.003,0.0085,0.0042
0.003,0.0085,0.00425
0.003,0.0085,0.0043
0.003,0.0085,0.00435
0.003,0.0085,0.0044
0.003,0.0085,0.00445
0.003,0.0085,0.0045
0.003,0.0085,0.00455
0.003,0.0085,0.0046
0.003,0.0085,0.00465
0.003,0.0085,0.0047
0.003,0.0085,0.00475
0.003,0.0085,0.0048
0.003,0.0085,0.00485
0.003,0.0085,0.0049
0.003,0.0085,0.00495
0.003,0.0085,0.005
0.003,0.009,0
0.003,0.009,5e-05
0.003,0.009,0.0001
0.003,0.009,0.00015
0.003,0.009,0.0002
0.003,0.009,0.00025
0.003,0.009,0.0003
0.003,0.009,0.00035
0.003,0.009,0.0004
0.003,0.009,0.00045
0.003,0.009,0.0005
0.003,0.009,0.00055
0.003,0.009,0.0006
0.003,0.009,0.00065
0.003,0.009,0.0007
0.003,0.009,0.00075
0.003,0.009,0.0008
0.003,0.009,0.00085
0.003,0.009,0.0009
0.003,0.009,0.00095
0.003,0.009,0.001
0.003,0.009,0.00105
0.003,0.009,0.0011
0.003,0.009,0.00115
0.003,0.009,0.0012
0.003,0.009,0.00125
0.003,0.009,0.0013
0.003,0.009,0.00135
0.003,0.009,0.0014
0.003,0.009,0.00145
0.003,0.009,0.0015
0.003,0.009,0.00155
0.003,0.009,0.0016
0.003,0.009,0.00165
0.003,0.009,0.0017
0.003,0.009,0.00175
0.003,0.009,0.0018
0.003,0.009,0.00185
0.003,0.009,0.0019
0.003,0.009,0.00195
0.003,0.009,0.002
0.003,0.009,0.00205
0.003,0.009,0.0021
0.003,0.009,0.00215
0.003,0.009,0.0022
0.003,0.009,0.00225
0.003,0.009,0.0023
0.003,0.009,0.00235
0.003,0.009,0.0024
0.003,0.009,0.00245
0.003,0.009,0.0025
0.003,0.009,0.00255
0.003,0.009,0.0026
0.003,0.009,0.00265
0.003,0.009,0.0027
0.003,0.009,0.00275
0.003,0.009,0.0028
0.003,0.009,0.00285
0.003,0.009,0.0029
0.003,0.009,0.00295
0.003,0.009,0.003
0.003,0.009,0.00305
0.003,0.009,0.0031
0.003,0.009,0.00315
0.003,0.009,0.0032
0.003,0.009,0.00325
0.003,0.009,0.0033
0.003,0.009,0.00335
0.003,0.009,0.0034
0.003,0.009,0.00345
0.003,0.009,0.0035
0.003,0.009,0.00355
0.003,0.009,0.0036
0.003,0.009,0.00365
0.003,0.009,0.0037
0.003,0.009,0.00375
0.003,0.009,0.0038
0.003,0.009,0.00385
0.003,0.009,0.0039
0.003,0.009,0.00395
0.003,0.009,0.004
0.003,0.009,0.00405
0.003,0.009,0.0041
0.003,0.009,0.00415
0.003,0.009,0.0042
0.003,0.009,0.00425
0.003,0.009,0.0043
0.003,0.009,0.00435
0.003,0.009,0.0044
0.003,0.009,0.00445
0.003,0.009,0.0045
0.003,0.009,0.00455
0.003,0.009,0.0046
0.003,0.009,0.00465
0.003,0.009,0.0047
0.003,0.009,0.00475
0.003,0.009,0.0048
0.003,0.009,0.00485
0.003,0.009,0.0049
0.003,0.009,0.00495
0.003,0.009,0.005
0.003,0.0095,0
0.003,0.0095,5e-05
0.003,0.0095,0.0001
0.003,0.0095,0.00015
0.003,0.0095,0.0002
0.003,0.0095,0.00025
0.003,0.0095,0.0003
0.003,0.0095,0.00035
0.003,0.0095,0.0004
0.003,0.0095,0.00045
0.003,0.0095,0.0005
0.003,0.0095,0.00055
0.003,0.0095,0.0006
0.003,0.0095,0.00065
0.003,0.0095,0.0007
0.003,0.0095,0.00075
0.003,0.0095,0.0008
0.003,0.0095,0.00085
0.003,0.0095,0.0009
0.003,0.0095,0.00095
0.003,0.0095,0.001
0.003,0.0095,0.00105
0.003,0.0095,0.0011
0.003,0.0095,0.00115
0.003,0.0095,0.0012
0.003,0.0095,0.00125
0.003,0.0095,0.0013
0.003,0.0095,0.00135
0.003,0.0095,0.0014
0.003,0.0095,0.00145
0.003,0.0095,0.0015
0.003,0.0095,0.00155
0.003,0.0095,0.0016
0.003,0.0095,0.00165
0.003,0.0095,0.0017
0.003,0.0095,0.00175
0.003,0.0095,0.0018
0.003,0.0095,0.00185
0.003,0.0095,0.0019
0.003,0.0095,0.00195
0.003,0.0095,0.002
0.003,0.0095,0.00205
0.003,0.0095,0.0021
0.003,0.0095,0.00215
0.003,0.0095,0.0022
0.003,0.0095,0.00225
0.003,0.0095,0.0023
0.003,0.0095,0.00235
0.003,0.0095,0.0024
0.003,0.0095,0.00245
0.003,0.0095,0.0025
0.003,0.0095,0.00255
0.003,0.0095,0.0026
0.003,0.0095,0.00265
0.003,0.0095,0.0027
0.003,0.0095,0.00275
0.003,0.0095,0.0028
0.003,0.0095,0.00285
0.003,0.0095,0.0029
0.003,0.0095,0.00295
0.003,0.0095,0.003
0.003,0.0095,0.00305
0.003,0.0095,0.0031
0.003,0.0095,0.00315
0.003,0.0095,0.0032
0.003,0.0095,0.00325
0.003,0.0095,0.0033
0.003,0.0095,0.00335
0.003,0.0095,0.0034
0.003,0.0095,0.00345
0.003,0.0095,0.0035
0.003,0.0095,0.00355
0.003,0.0095,0.0036
0.003,0.0095,0.00365
0.003,0.0095,0.0037
0.003,0.0095,0.00375
0.003,0.0095,0.0038
0.003,0.0095,0.00385
0.003,0.0095,0.0039
0.003,0.0095,0.00395
0.003,0.0095,0.004
0.003,0.0095,0.00405
0.003,0.0095,0.0041
0.003,0.0095,0.00415
0.003,0.0095,0.0042
0.003,0.0095,0.00425
0.003,0.0095,0.0043
0.003,0.0095,0.00435
0.003,0.0095,0.0044
0.003,0.0095,0.00445
0.003,0.0095,0.0045
0.003,0.0095,0.00455
0.003,0.0095,0.0046
0.003,0.0095,0.00465
0.003,0.0095,0.0047
0.003,0.0095,0.00475
0.003,0.0095,0.0048
0.003,0.0095,0.00485
0.003,0.0095,0.0049
0.003,0.0095,0.00495
0.003,0.0095,0.005
0.003,0.01,0
0.003,0.01,5e-05
0.003,0.01,0.0001
0.003,0.01,0.00015
0.003,0.01,0.0002
0.003,0.01,0.00025
0.003,0.01,0.0003
0.003,0.01,0.00035
0.003,0.01,0.0004
0.003,0.01,0.00045
0.003,0.01,0.0005
0.003,0.01,0.00055
0.003,0.01,0.0006
0.003,0.01,0.00065
0.003,0.01,0.0007
0.003,0.01,0.00075
0.003,0.01,0.0008
0.003,0.01,0.00085
0.003,0.01,0.0009
0.003,0.01,0.00095
0.003,0.01,0.001
0.003,0.01,0.00105
0.003,0.01,0.0011
0.003,0.01,0.00115
0.003,0.01,0.0012
0.003,0.01,0.00125
0.003,0.01,0.0013
0.003,0.01,0.00135
0.003,0.01,0.0014
0.003,0.01,0.00145
0.003,0.01,0.0015
0.003,0.01,0.00155
0.003,0.01,0.0016
0.003,0.01,0.00165
0.003,0.01,0.0017
0.003,0.01,0.00175
0.003,0.01,0.0018
0.003,0.01,0.00185
0.003,0.01,0.0019
0.003,0.01,0.00195
0.003,0.01,0.002
0.003,0.01,0.00205
0.003,0.01,0.0021
0.003,0.01,0.00215
0.003,0.01,0.0022
0.003,0.01,0.00225
0.003,0.01,0.0023
0.003,0.01,0.00235
0.003,0.01,0.0024
0.003,0.01,0.00245
0.003,0.01,0.0025
0.003,0.01,0.00255
0.003,0.01,0.0026
0.003,0.01,0.00265
0.003,0.01,0.0027
0.003,0.01,0.00275
0.003,0.01,0.0028
0.003,0.01,0.00285
0.003,0.01,0.0029
0.003,0.01,0.00295
0.003,0.01,0.003
0.003,0.01,0.00305
0.003,0.01,0.0031
0.003,0.01,0.00315
0.003,0.01,0.0032
0.003,0.01,0.00325
0.003,0.01,0.0033
0.003,0.01,0.00335
0.003,0.01,0.0034
0.003,0.01,0.00345
0.003,0.01,0.0035
0.003,0.01,0.00355
0.003,0.01,0.0036
0.003,0.01,0.00365
0.003,0.01,0.0037
0.003,0.01,0.00375
0.003,0.01,0.0038
0.003,0.01,0.00385
0.003,0.01,0.0039
0.003,0.01,0.00395
0.003,0.01,0.004
0.003,0.01,0.00405
0.003,0.01,0.0041
0.003,0.01,0.00415
0.003,0.01,0.0042
0.003,0.01,0.00425
0.003,0.01,0.0043
0.003,0.01,0.00435
0.003,0.01,0.0044
0.003,0.01,0.00445
0.003,0.01,0.0045
0.003,0.01,0.00455
0.003,0.01,0.0046
0.003,0.01,0.00465
0.003,0.01,0.0047
0.003,0.01,0.00475
0.003,0.01,0.0048
0.003,0.01,0.00485
0.003,0.01,0.0049
0.003,0.01,0.00495
0.003,0.01,0.005
0.0035,0,0
0.0035,0,5e-05
0.0035,0,0.0001
0.0035,0,0.00015
0.0035,0,0.0002
0.0035,0,0.00025
0.0035,0,0.0003
0.0035,0,0.00035
0.0035,0,0.0004
0.0035,0,0.00045
0.0035,0,0.0005
0.0035,0,0.00055
0.0035,0,0.0006
0.0035,0,0.00065
0.0035,0,0.0007
0.0035,0,0.00075
0.0035,0,0.0008
0.0035,0,0.00085
0.0035,0,0.0009
0.0035,0,0.00095
0.0035,0,0.001
0.0035,0,0.00105
0.0035,0,0.0011
0.0035,0,0.00115
0.0035,0,0.0012
0.0035,0,0.00125
0.0035,0,0.0013
0.0035,0,0.00135
0.0035,0,0.0014
0.0035,0,0.00145
0.0035,0,0.0015
0.0035,0,0.00155
0.0035,0,0.0016
0.0035,0,0.00165
0.0035,0,0.0017
0.0035,0,0.00175
0.0035,0,0.0018
0.0035,0,0.00185
0.0035,0,0.0019
0.0035,0,0.00195
0.0035,0,0.002
0.0035,0,0.00205
0.0035,0,0.0021
0.0035,0,0.00215
0.0035,0,0.0022
0.0035,0,0.00225
0.0035,0,0.0023
0.0035,0,0.00235
0.0035,0,0.0024
0.0035,0,0.00245
0.0035,0,0.0025
0.0035,0,0.00255
0.0035,0,0.0026
0.0035,0,0.00265
0.0035,0,0.0027
0.0035,0,0.00275
0.0035,0,0.0028
0.0035,0,0.00285
0.0035,0,0.0029
0.0035,0,0.00295
0.0035,0,0.003
0.0035,0,0.00305
0.0035,0,0.0031
0.0035,0,0.00315
0.0035,0,0.0032
0.0035,0,0.00325
0.0035,0,0.0033
0.0035,0,0.00335
0.0035,0,0.0034
0.0035,0,0.00345
0.0035,0,0.0035
0.0035,0,0.00355
0.0035,0,0.0036
0.0035,0,0.00365
0.0035,0,0.0037
0.0035,0,0.00375
0.0035,0,0.0038
0.0035,0,0.00385
0.0035,0,0.0039
0.0035,0,0.00395
0.0035,0,0.004
0.0035,0,0.00405
0.0035,0,0.0041
0.0035,0,0.00415
0.0035,0,0.0042
0.0035,0,0.00425
0.0035,0,0.0043
0.0035,0,0.00435
0.0035,0,0.0044
0.0035,0,0.00445
0.0035,0,0.0045
0.0035,0,0.00455
0.0035,0,0.0046
0.0035,0,0.00465
0.0035,0,0.0047
0.0035,0,0.00475
0.0035,0,0.0048
0.0035,0,0.00485
0.0035,0,0.0049
0.0035,0,0.00495
0.0035,0,0.005
0.0035,0.0005,0
0.0035,0.0005,5e-05
0.0035,0.0005,0.0001
0.0035,0.0005,0.00015
0.0035,0.0005,0.0002
0.0035,0.0005,0.00025
0.0035,0.0005,0.0003
0.0035,0.0005,0.00035
0.0035,0.0005,0.0004
0.0035,0.0005,0.00045
0.0035,0.0005,0.0005
0.0035,0.0005,0.00055
0.0035,0.0005,0.0006
0.0035,0.0005,0.00065
0.0035,0.0005,0.0007
0.0035,0.0005,0.00075
0.0035,0.0005,0.0008
0.0035,0.0005,0.00085
0.0035,0.0005,0.0009
0.0035,0.0005,0.00095
0.0035,0.0005,0.001
0.0035,0.0005,0.00105
0.0035,0.0005,0.0011
0.0035,0.0005,0.00115
0.0035,0.0005,0.0012
0.0035,0.0005,0.00125
0.0035,0.0005,0.0013
0.0035,0.0005,0.00135
0.0035,0.0005,0.0014
0.0035,0.0005,0.00145
0.0035,0.0005,0.0015
0.0035,0.0005,0.00155
0.0035,0.0005,0.0016
0.0035,0.0005,0.00165
0.0035,0.0005,0.0017
0.0035,0.0005,0.00175
0.0035,0.0005,0.0018
0.0035,0.0005,0.00185
0.0035,0.0005,0.0019
0.0035,0.0005,0.00195
0.0035,0.0005,0.002
0.0035,0.0005,0.00205
0.0035,0.0005,0.0021
0.0035,0.0005,0.00215
0.0035,0.0005,0.0022
0.0035,0.0005,0.00225
0.0035,0.0005,0.0023
0.0035,0.0005,0.00235
0.0035,0.0005,0.0024
0.0035,0.0005,0.00245
0.0035,0.0005,0.0025
0.0035,0.0005,0.00255
0.0035,0.0005,0.0026
0.0035,0.0005,0.00265
0.0035,0.0005,0.0027
0.0035,0.0005,0.00275
0.0035,0.0005,0.0028
0.0035,0.0005,0.00285
0.0035,0.0005,0.0029
0.0035,0.0005,0.00295
0.0035,0.0005,0.003
0.0035,0.0005,0.00305
0.0035,0.0005,0.0031
0.0035,0.0005,0.00315
0.0035,0.0005,0.0032
0.0035,0.0005,0.00325
0.0035,0.0005,0.0033
0.0035,0.0005,0.00335
0.0035,0.0005,0.0034
0.0035,0.0005,0.00345
0.0035,0.0005,0.0035
0.0035,0.0005,0.00355
0.0035,0.0005,0.0036
0.0035,0.0005,0.00365
0.0035,0.0005,0.0037
0.0035,0.0005,0.00375
0.0035,0.0005,0.0038
0.0035,0.0005,0.00385
0.0035,0.0005,0.0039
0.0035,0.0005,0.00395
0.0035,0.0005,0.004
0.0035,0.0005,0.00405
0.0035,0.0005,0.0041
0.0035,0.0005,0.00415
0.0035,0.0005,0.0042
0.0035,0.0005,0.00425
0.0035,0.0005,0.0043
0.0035,0.0005,0.00435
0.0035,0.0005,0.0044
0.0035,0.0005,0.00445
0.0035,0.0005,0.0045
0.0035,0.0005,0.00455
0.0035,0.0005,0.0046
0.0035,0.0005,0.00465
0.0035,0.0005,0.0047
0.0035,0.0005,0.00475
0.0035,0.0005,0.0048
0.0035,0.0005,0.00485
0.0035,0.0005,0.0049
0.0035,0.0005,0.00495
0.0035,0.0005,0.005
0.0035,0.001,0
0.0035,0.001,5e-05
0.0035,0.001,0.0001
0.0035,0.001,0.00015
0.0035,0.001,0.0002
0.0035,0.001,0.00025
0.0035,0.001,0.0003
0.0035,0.001,0.00035
0.0035,0.001,0.0004
0.0035,0.001,0.00045
0.0035,0.001,0.0005
0.0035,0.001,0.00055
0.0035,0.001,0.0006
0.0035,0.001,0.00065
0.0035,0.001,0.0007
0.0035,0.001,0.00075
0.0035,0.001,0.0008
0.0035,0.001,0.00085
